time_ms,gps_speed,gps_heading,lat,lon,blackout,accel_y_mean,accel_y_std,accel_z_std,gyro_z_std,accel_energy
60011,6.68,58.12,52.403114,-1.557199,False,0.0047,0.0,0.0,0.0,98.17839434
60111,6.68,58.12,52.403114,-1.557199,False,-0.0552,0.08471139238614839,0.004030508652763976,0.011030865786510143,98.12854509499999
60211,0.71,40.34,52.4034,-1.556838,False,-0.12123333333333335,0.12910930769442355,0.07825400948194212,0.009035670054474839,97.25935304
60311,0.71,40.34,52.4034,-1.556838,False,-0.155675,0.12592744935080677,0.0703336334906702,0.010425769356103494,96.9796157525
60411,0.71,40.34,52.4034,-1.556838,False,-0.16196000000000002,0.10995816477188042,0.07832315749508519,0.009049143605888902,97.41468284599999
60511,0.71,40.34,52.4034,-1.556838,False,-0.15538333333333335,0.09966019098249145,0.0702650980217059,0.008213342803024845,97.36659845499999
60611,0.71,40.34,52.4034,-1.556838,False,-0.16781428571428572,0.0967393134248159,0.06439637301232731,0.0075063148018692846,97.41236871142857
60711,0.71,40.34,52.4034,-1.556838,False,-0.1688375,0.08960994743091545,0.05976665936313092,0.007810935557647002,97.38204022375
60811,0.71,40.34,52.4034,-1.556838,False,-0.17576666666666668,0.08636156552541184,0.05619725922537857,0.00760920495189872,97.4212634211111
60910,0.71,40.34,52.4034,-1.556838,False,-0.156,0.10264905693131764,0.052986266564501436,0.00752348175898485,97.413769936
61011,0.71,40.34,52.4034,-1.556838,False,-0.17443999999999998,0.0857440143683511,0.05125376517334521,0.010794154796823035,97.3572408
61111,0.71,40.34,52.4034,-1.556838,False,-0.17218,0.08775608620868793,0.0545496522038002,0.012566007940294941,97.131308529
61211,0.71,40.34,52.4034,-1.556838,False,-0.15337,0.08859162300503737,0.04617674859830561,0.01310354065807321,97.28385684
61311,0.71,40.34,52.4034,-1.556838,False,-0.13318,0.08476774543814802,0.04180989250298452,0.013264974766487702,97.360576092
61411,0.71,40.34,52.4034,-1.556838,False,-0.13389,0.08529762859801228,0.02740520834521169,0.013322895914761004,97.17554571
61510,0.71,40.34,52.4034,-1.556838,False,-0.13172,0.08589353616865214,0.03743829886923619,0.013324563782728494,97.33913600000001
61611,0.71,40.34,52.4034,-1.556838,False,-0.11784999999999998,0.07674675888921953,0.03702782137198446,0.015744773383217964,97.304715993
61711,0.71,40.34,52.4034,-1.556838,False,-0.11391,0.07440541273620113,0.041310538069064075,0.015398470342501193,97.435406944
61811,0.71,40.34,52.4034,-1.556838,False,-0.09555,0.06419991779157073,0.04551705541149761,0.015340737342847056,97.278284464
61911,0.71,40.34,52.4034,-1.556838,False,-0.1032,0.05205962393683267,0.0461680697741054,0.015859693846001215,97.220409884
62011,0.71,40.34,52.4034,-1.556838,False,-0.08985,0.047147952706818985,0.045700517867233476,0.012660366854435492,97.183836799
62111,0.71,40.34,52.4034,-1.556838,False,-0.09065000000000001,0.04726563821166018,0.040013742083883655,0.007999138842539376,97.399356039
62210,0.71,40.34,52.4034,-1.556838,False,-0.09359,0.046413394857758666,0.04163199757665034,0.008061851179750492,97.51978543999999
62311,0.71,40.34,52.4034,-1.556838,False,-0.10196000000000001,0.04664823921888391,0.04468800609659028,0.00822590082875088,97.467179159
62411,0.71,40.34,52.4034,-1.556838,False,-0.10313000000000001,0.04929068088616974,0.047841237442189675,0.008113883848756468,97.59727374100001
62511,0.71,40.34,52.4034,-1.556838,False,-0.10671000000000001,0.050390463162961446,0.04519502062051595,0.007261496631778693,97.553059366
62611,0.71,40.34,52.4034,-1.556838,False,-0.10639000000000001,0.05042185262584289,0.05492344267756311,0.005046549976634198,97.38052321400001
62711,0.71,40.34,52.4034,-1.556838,False,-0.09378,0.057323057218617406,0.05218273022115045,0.004884715390321569,97.314277008
62811,0.71,40.34,52.4034,-1.556838,False,-0.09801,0.055052428546694336,0.04914925228322389,0.0036954175827788476,97.50584175
62911,0.71,40.34,52.4034,-1.556838,False,-0.10131000000000001,0.05311619234177922,0.05120108071776023,0.004336460410160439,97.708222949
63010,0.71,40.34,52.4034,-1.556838,False,-0.10866,0.0496127492575133,0.05383247780537895,0.004354065788305092,97.644270069
63110,0.71,40.34,52.4034,-1.556838,False,-0.10863,0.04961832210876227,0.053681174022597665,0.004441421193967329,97.579245423
