lat,lon, GPS ALTITUDE (m),gps_speed, GPS ACCURACY (m),gps_heading,GPS SATELLITES IN RANGE,time_ms, DATE (YYYY-MO-DD HH-MI-SS_SSS),accel_x,accel_y,accel_z, GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²),gyro_z,gyro_x,gyro_y, MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T),yaw,pitch,roll,blackout
52.403114,-1.557199,167.45,6.68,2,58.12,28 / 29,60011,2019-09-08 12:04:51:741,-0.4937,0.0047,9.9085,-0.009,-0.0035,9.8066,0.0037,-0.0172,0.0109,-29.19,-35.69,5.5,277.24,-81.38,-173.84,False
52.403114,-1.557199,167.45,6.68,2,58.12,28 / 29,60111,2019-09-08 12:04:51:841,-0.3157,-0.1151,9.9028,-0.0009,-0.0063,9.8066,-0.0119,-0.0101,-0.0035,-29.31,-35.94,5.19,275.64,-81.44,-173.52,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60211,2019-09-08 12:04:51:941,-0.3313,-0.2533,9.7702,0.0003,-0.0038,9.8065,-0.012,-0.0289,0.0141,-29.56,-35.94,5.5,278.11,-81.48,-173.06,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60311,2019-09-08 12:04:52:041,-0.0852,-0.259,9.8017,-0.0065,-0.0069,9.8066,0.008,-0.0282,0.0049,-29.44,-35.62,5.31,276.53,-81.5,-172.72,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60411,2019-09-08 12:04:52:141,0.123,-0.1871,9.9559,0.0001,-0.0016,9.8066,-0.0017,-0.0076,0.0084,-29.75,-36.06,5.25,277.26,-81.57,-172.1,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60511,2019-09-08 12:04:52:241,0.2197,-0.1225,9.8545,-0.0014,-0.0014,9.8066,-0.0062,-0.0035,0.0151,-29.5,-35.81,5.75,279.59,-81.63,-171.84,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60611,2019-09-08 12:04:52:341,-0.0729,-0.2424,9.8807,-0.0072,-0.0043,9.8066,-0.0024,-0.0298,-0.0018,-29.75,-35.81,5.63,280.0,-81.69,-171.46,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60711,2019-09-08 12:04:52:441,-0.0883,-0.176,9.8559,-0.0072,-0.0009,9.8066,-0.0133,0.0011,0.0103,-29.94,-36.06,5.75,280.54,-81.78,-171.05,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60811,2019-09-08 12:04:52:541,-0.4881,-0.2312,9.8834,-0.0076,-0.0021,9.8066,0.0019,-0.0117,0.0005,-29.62,-36.0,5.19,278.91,-81.84,-170.81,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,60910,2019-09-08 12:04:52:640,-0.1178,0.0219,9.8664,-0.0083,-0.0004,9.8066,0.0034,-0.0002,-0.0121,-30.0,-36.19,5.56,281.19,-81.92,-170.58,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61011,2019-09-08 12:04:52:741,-0.0469,-0.1797,9.8783,-0.0029,0.0017,9.8066,-0.0294,-0.0157,-0.0083,-29.75,-36.12,5.06,279.53,-82.02,-170.42,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61111,2019-09-08 12:04:52:841,-0.1449,-0.0925,9.7883,-0.0011,0.0005,9.8066,-0.027,-0.0111,0.0084,-29.87,-36.0,5.0,279.52,-82.1,-170.53,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61211,2019-09-08 12:04:52:941,-0.1382,-0.0652,9.851,-0.0076,-0.0023,9.8066,0.0052,-0.0102,-0.0014,-30.19,-36.31,5.5,281.81,-82.16,-170.28,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61311,2019-09-08 12:04:53:041,-0.2107,-0.0571,9.844,-0.0047,-0.0027,9.8066,0.0093,-0.0162,-0.005,-29.87,-36.37,5.44,280.39,-82.25,-169.86,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61411,2019-09-08 12:04:53:141,-0.3033,-0.1942,9.8624,-0.0052,-0.0031,9.8066,-0.0003,-0.004,-0.0008,-30.0,-35.87,5.56,282.64,-82.28,-169.61,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61510,2019-09-08 12:04:53:240,-0.2164,-0.1008,9.9374,-0.0002,-0.0001,9.8065,-0.0066,-0.0021,0.0092,-29.56,-36.37,5.94,282.97,-82.33,-169.35,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61611,2019-09-08 12:04:53:341,-0.3813,-0.1037,9.8657,-0.0058,-0.0012,9.8066,0.0205,-0.0089,-0.0084,-29.87,-36.75,5.5,283.01,-82.37,-169.11,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61711,2019-09-08 12:04:53:441,-0.2435,-0.1366,9.9226,-0.0025,-0.0019,9.8066,0.0002,-0.0152,-0.0033,-30.19,-36.44,5.06,281.73,-82.43,-168.78,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61811,2019-09-08 12:04:53:541,-0.0884,-0.0476,9.8062,-0.0029,-0.0006,9.8065,-0.0047,0.008,0.011,-30.19,-36.25,5.44,281.95,-82.46,-168.6,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,61911,2019-09-08 12:04:53:641,-0.1882,-0.0546,9.8369,-0.0056,-0.0036,9.8066,0.0109,-0.0123,-0.0007,-29.44,-36.31,5.19,282.5,-82.53,-168.17,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,62011,2019-09-08 12:04:53:741,0.0798,-0.0462,9.8613,-0.0019,-0.0014,9.8066,0.0021,0.004,-0.0009,-30.06,-35.87,5.19,282.86,-82.57,-167.85,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,62111,2019-09-08 12:04:53:841,0.0981,-0.1005,9.8977,-0.0037,-0.0021,9.8066,0.0026,-0.0043,0.0014,-30.5,-36.44,5.56,285.0,-82.6,-167.71,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,62210,2019-09-08 12:04:53:940,0.4139,-0.0946,9.9117,0.0,-0.0032,9.8066,0.0003,-0.0017,0.0038,-30.0,-36.19,5.5,285.47,-82.64,-167.3,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62311,2019-09-08 12:04:54:041,0.4918,-0.1408,9.8164,0.0003,-0.0032,9.8066,0.0111,0.0026,0.0049,-29.69,-36.12,5.31,283.88,-82.63,-166.92,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62411,2019-09-08 12:04:54:141,0.1074,-0.2059,9.9279,-0.002,-0.0012,9.8066,0.0048,-0.0016,0.0086,-30.12,-36.12,5.38,284.11,-82.62,-166.7,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62511,2019-09-08 12:04:54:241,0.3328,-0.1366,9.9147,-0.0008,-0.0007,9.8066,0.0086,-0.0077,-0.009,-29.5,-36.31,5.75,286.35,-82.65,-166.57,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62611,2019-09-08 12:04:54:341,0.4178,-0.1005,9.7779,-0.0016,-0.0017,9.8066,0.004,-0.0043,0.0077,-29.69,-36.31,5.94,286.53,-82.68,-166.32,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62711,2019-09-08 12:04:54:441,0.332,-0.0105,9.8901,-0.0031,-0.0012,9.8066,0.0057,-0.0029,-0.002,-30.06,-36.62,4.94,284.55,-82.69,-166.11,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62811,2019-09-08 12:04:54:541,0.1713,-0.0899,9.9031,0.0003,-0.0014,9.8066,0.0074,-0.0109,-0.0076,-29.94,-36.12,5.13,285.07,-82.72,-165.88,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,62911,2019-09-08 12:04:54:641,0.3182,-0.0876,9.939,-0.0008,-0.0023,9.8066,-0.004,0.0049,0.0124,-29.87,-36.37,5.38,285.36,-82.72,-165.61,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,63010,2019-09-08 12:04:54:740,0.3652,-0.1197,9.8282,-0.0017,0.0003,9.8066,0.0018,0.006,-0.0019,-30.12,-36.25,5.38,285.59,-82.74,-165.4,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,63110,2019-09-08 12:04:54:840,0.4636,-0.1002,9.8648,-0.0032,-0.0006,9.8066,0.0011,-0.0018,-0.0025,-30.19,-36.69,5.56,287.45,-82.77,-165.32,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63211,2019-09-08 12:04:54:941,0.326,-0.0628,9.7871,-0.0012,-0.0021,9.8065,0.015,-0.0015,0.0082,-30.56,-36.56,6.0,287.47,-82.76,-165.2,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63311,2019-09-08 12:04:55:041,0.3887,-0.1457,9.8729,-0.0025,-0.0001,9.8066,-0.0217,0.0036,-0.0095,-29.75,-36.0,6.0,287.87,-82.78,-165.15,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63411,2019-09-08 12:04:55:141,0.1565,-0.1346,9.8865,-0.0005,-0.0014,9.8066,-0.0101,-0.0015,0.0083,-29.56,-36.25,5.75,288.19,-82.8,-164.87,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63511,2019-09-08 12:04:55:241,0.4575,-0.1564,9.8493,-0.0008,0.0001,9.8066,0.0271,-0.0166,-0.0113,-29.94,-36.75,5.94,288.06,-82.79,-164.76,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63613,2019-09-08 12:04:55:343,0.129,-0.0212,9.9415,-0.0016,-0.0029,9.8066,-0.016,-0.004,-0.0022,-29.94,-36.25,6.06,288.35,-82.82,-164.73,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63711,2019-09-08 12:04:55:441,0.3837,-0.0392,9.7671,0.0001,-0.0023,9.8065,0.0038,0.0029,0.0142,-30.19,-36.25,5.81,288.68,-82.81,-164.42,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63811,2019-09-08 12:04:55:541,0.1663,-0.0523,9.9635,0.0008,0.0002,9.8066,0.0073,0.0014,-0.0172,-30.19,-35.75,5.63,288.75,-82.82,-164.36,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,63911,2019-09-08 12:04:55:641,0.2743,-0.0759,9.8789,0.0035,-0.0016,9.8066,0.0091,-0.0066,0.0079,-30.06,-35.87,6.06,288.81,-82.82,-164.3,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,64011,2019-09-08 12:04:55:741,0.2634,0.0211,9.789,-0.0047,-0.0009,9.8066,-0.0105,-0.0035,-0.0071,-30.31,-36.44,5.19,286.85,-82.8,-164.26,False
52.4034,-1.556838,167.08,0.71,2,40.34,29 / 29,64111,2019-09-08 12:04:55:841,0.2273,0.0398,9.929,-0.0013,-0.0023,9.8066,-0.0041,0.0023,0.0119,-30.25,-36.37,5.75,289.14,-82.81,-163.98,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,64211,2019-09-08 12:04:55:941,0.2743,-0.14,9.8508,-0.0014,-0.0008,9.8066,-0.0167,0.0077,0.0044,-30.25,-35.87,5.75,289.31,-82.81,-163.81,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,64311,2019-09-08 12:04:56:041,0.3199,0.0477,9.8005,-0.0005,-0.0023,9.8066,0.0112,-0.0035,0.008,-30.12,-36.0,5.38,287.47,-82.81,-163.69,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,64411,2019-09-08 12:04:56:141,0.2789,0.0231,9.9687,0.0009,0.0007,9.8066,0.0085,-0.0066,-0.0032,-29.69,-36.44,5.44,287.51,-82.81,-163.64,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,64511,2019-09-08 12:04:56:241,0.1938,-0.0968,9.8691,0.002,-0.0022,9.8065,0.022,-0.0097,0.0024,-30.44,-36.31,5.5,289.51,-82.81,-163.63,False
52.4034,-1.556838,167.08,0.71,2,40.34,28 / 28,64611,2019-09-08 12:04:56:341,0.3816,-0.0317,9.7616,-0.0027,-0.0006,9.8066,0.0028,-0.0001,-0.0045,-30.0,-36.06,5.63,289.64,-82.8,-163.48,False
