time_ms,gps_speed,gps_heading,lat,lon,blackout,accel_y_mean,accel_y_std,accel_z_std,gyro_z_std,accel_energy,accel_x_mean,accel_x_std,gyro_x_std,accel_energy_2s,accel_z_mean
63022,5.18,280.98,52.40152,-1.505763,False,1.346,0.0,0.0,0.0,103.01330401000001,-1.3563,0.0,0.0,103.01330401000001,10.0599
63122,5.18,280.98,52.40152,-1.505763,False,0.6264500000000001,1.0175973688055606,0.1177332790675596,0.06533666658163699,103.80061429,-0.9691000000000001,0.5475834913508625,0.04369919907732865,103.80061429,10.14315
63222,5.18,280.98,52.40152,-1.505763,False,0.8247333333333334,0.7973086248958638,0.0850741049517024,0.04744473978570578,103.78717537,-0.9503,0.388566802493471,0.06886699741772784,103.78717537,10.133033333333334
63322,5.18,280.98,52.40152,-1.505763,False,0.818875,0.6511051956737355,0.2790019996941486,0.059693739202700304,101.00539564,-1.3543,0.8680553592177556,0.05622967040036188,101.00539564,9.997925
63422,5.18,280.98,52.40152,-1.505763,False,0.89474,0.5888386646612126,0.24176788868664972,0.05414856415455538,101.008339688,-1.08704,0.9603539024755406,0.04952920350661819,101.008339688,9.99418
63521,5.18,280.98,52.40152,-1.505763,False,0.9738000000000001,0.5611485364856617,0.2178008876627156,0.055065103892271615,100.92182724999999,-1.1458833333333334,0.870975844479436,0.05199567930767581,100.92182724999999,9.983566666666666
63621,5.18,280.98,52.40152,-1.505763,False,1.0310285714285714,0.534164923702676,0.3311864120458593,0.056872597803796346,99.08433067142857,-1.1803571428571427,0.8003029881595738,0.04946840742669339,99.08433067142857,9.883457142857143
63721,5.18,280.98,52.40152,-1.505763,False,1.2336125,0.7568965666975717,0.31798899323943397,0.057646056735416486,99.2062227,-1.1252125,0.7571753343607317,0.04581370467135665,99.2062227,9.8536625
63822,5.18,280.98,52.40152,-1.505763,False,1.2890333333333333,0.7272716686355931,0.31493973629886746,0.05968766855706275,98.63596195555556,-1.1007222222222222,0.7120731278769369,0.04709481865815436,98.63596195555556,9.819166666666668
63921,5.18,280.98,52.40152,-1.505763,False,1.3084,0.6884078845826473,0.3051238721131689,0.05998196858686412,99.074976258,-1.05032,0.6900096356815123,0.056556677570184205,99.074976258,9.84138
64022,5.18,280.98,52.40152,-1.505763,False,1.32991,0.6930580758894276,0.364725587714015,0.06073053048783068,97.37167478199999,-0.9457799999999998,0.7171588802737895,0.05593396503417618,97.88455016636364,9.749410000000001
64121,5.18,280.98,52.40152,-1.505763,False,1.55103,0.519648485997987,0.32812294799358416,0.05802926081823816,97.086632542,-0.98866,0.7057124645821885,0.055417647610365654,98.2056295,9.71293
64221,5.18,280.98,52.40152,-1.505763,False,1.70014,0.618962521213253,0.31101046445417335,0.058204596992944724,96.229377689,-0.85174,0.8417915672342333,0.043014107504915675,97.97348484615385,9.63883
64322,5.18,280.98,52.40152,-1.505763,False,1.7189799999999997,0.5907898306504608,0.316075060705524,0.052443524120926704,96.00764487800001,-0.70222,0.6020666164691966,0.03785336620874465,97.43557366714286,9.625420000000002
64421,5.18,280.98,52.40152,-1.505763,False,1.8512999999999997,0.6090861862021025,0.40806745847551745,0.05356470645656313,94.07596629,-0.7341,0.5693631256842059,0.033692513180889935,96.38675742266668,9.49552
64521,5.18,280.98,52.40152,-1.505763,False,1.8368299999999997,0.6233660241873238,0.3974035614670158,0.05163016344907089,93.842794545,-0.57192,0.5768496276230825,0.03424019729953536,96.497431809375,9.48562
64621,5.18,280.98,52.40152,-1.505763,False,1.96875,0.6534907348658859,0.3995947246899052,0.05254528311635381,95.306525157,-0.5749299999999999,0.5816351186287003,0.03673191769806983,96.86209213352942,9.534279999999999
64721,5.18,280.98,52.40152,-1.505763,False,2.01655,0.7228021909362355,0.4107133562473967,0.07731033853531133,95.97523997200001,-0.4082,0.7452680591572404,0.04069258190656155,97.41123229555555,9.55441
64822,5.18,280.98,52.40152,-1.505763,False,2.1881,0.8416725834775528,0.4117858641197993,0.09649984686228494,97.06967582899999,-0.47031999999999996,0.8139817535492495,0.05546003165443659,97.81160083631579,9.56513
64922,10.57,325.94,52.402145,-1.506343,False,2.24807,0.8064554793112334,0.39224334510324,0.11062079571420758,95.594562231,-0.35838,0.8697322599513024,0.05806228456484369,97.3347692445,9.47718
65022,10.57,325.94,52.402145,-1.506343,False,2.23046,0.8248363395917467,0.5106297784762134,0.11225417636378217,98.45447997,-0.33053,0.8758589575065409,0.06389973135050463,97.913077376,9.62458
65121,10.57,325.94,52.402145,-1.506343,False,2.22722,0.8253901835563052,0.5549506408481544,0.11147699364044185,99.395313166,-0.23668999999999998,0.8446006465253926,0.06483201883843095,98.24097285399999,9.67184
65221,10.57,325.94,52.402145,-1.506343,False,2.10656,0.8347241343368746,0.5512028358256348,0.1153937433312569,99.016907374,-0.21195,0.8703912763170877,0.06432485263618305,97.6231425315,9.67878
65321,10.57,325.94,52.402145,-1.506343,False,2.1850300000000002,0.7507224683966477,0.5604278866286998,0.11941621888727398,98.93685608,-0.0007400000000000074,0.8946679771475747,0.06430928825259656,97.472250479,9.662949999999999
65421,10.57,325.94,52.402145,-1.506343,False,2.0422000000000002,0.8129111117185912,0.44264686313634094,0.1156836342021732,100.640732597,0.017609999999999994,0.8888724511049565,0.06522865849370879,97.35834944349999,9.782589999999999
65522,10.57,325.94,52.402145,-1.506343,False,2.05973,0.7950092019732994,0.4630931890859294,0.1165432304149647,99.750806201,-0.05072000000000001,0.9010371626322882,0.06535102566567379,96.796800373,9.73378
65621,10.57,325.94,52.402145,-1.506343,False,1.9213700000000002,0.7928307708598491,0.46851595490441816,0.11774672630504661,98.680790725,0.06861999999999999,0.7693317284789731,0.06747131159899655,96.993657941,9.706999999999999
65722,10.57,325.94,52.402145,-1.506343,False,1.76924,0.6719523084928641,0.4667473663557183,0.10924156514603565,97.49081098,-0.02566000000000001,0.7075930205044892,0.06778764308895503,96.733025476,9.68288
